Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",77000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Lara,Spring
One Flew Over the Cuckoo's Nest,1975,Drama,133 min,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",118000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Weaver and Brown",Winter
The Kid,1921,"Comedy, Drama, Family",68 min,,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",81000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Orozco-Morales,Fall
Badhaai ho,2018,"Comedy, Drama",124 min,8.0,A man is embarrassed when he finds out his mother is pregnant.,193000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ware, White and Jackson",Summer
Fargo,1996,"Crime, Drama, Thriller",98 min,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,19000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lloyd, Robertson and Huang",Fall
Ed Wood,1994,"Biography, Comedy, Drama",127 min,7.8,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",3000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Patel PLC,Summer
Dead Man,1995,"Adventure, Drama, Fantasy",121 min,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",118000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Klein, White and Anderson",Summer
All About Eve,1950,Drama,138 min,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,160000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Mack and Richardson",Fall
Per qualche dollaro in più,1965,Western,132 min,,Two bounty hunters with the same intentions team up to track down a Western outlaw.,145000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,King-Shah,Summer
The Boy in the Striped Pyjamas,2008,,94 min,7.8,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",26000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hawkins, Lang and Williams",Spring
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",19000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ibarra-Ray,Spring
To Kill a Mockingbird,1962,"Crime, Drama",129 min,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",138000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,Fall
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",55000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lucas, Moore and Fuller",Winter
Changeling,2008,"Biography, Crime, Drama",141 min,7.7,,130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garrett Ltd,Spring
Shadow of a Doubt,1943,"Film-Noir, Thriller",108 min,7.8,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",68000000.0,<function <lambda> at 0x00000168A434E0C0>,,Young Group,Fall
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,34000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Meyer PLC,Summer
Ghostbusters,1984,,105 min,7.8,,90000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Rodriguez and Cantu",Spring
Lethal Weapon,1987,"Action, Crime, Thriller",,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gutierrez-Underwood,Fall
Boogie Nights,1997,Drama,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",63000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Palmer and Sons,Fall
The Muppet Movie,1979,"Adventure, Comedy, Family",95 min,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",95000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,White Ltd,Winter
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,73000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harris-Matthews,
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",41000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hernandez, Chavez and Carter",Summer
Der Untergang,2004,"Biography, Drama, History",156 min,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",113000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson-Smith,Summer
Deliverance,1972,"Adventure, Drama, Thriller",109 min,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",140000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Poole and Payne",Fall
Die Hard,1988,"Action, Thriller",132 min,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,181000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Diaz-Harrington,
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",78000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rivera, Rodriguez and Carter",Summer
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",157000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Parks-Deleon,Fall
Once Upon a Time in the West,1968,Western,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,168000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Flores-Tanner,
Omohide poro poro,1991,"Animation, Drama, Romance",118 min,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,136000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Glover-Hodge,Fall
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,3000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wheeler LLC,Fall
Mulholland Dr.,2001,"Drama, Mystery, Thriller",147 min,7.9,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",171000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Leblanc Group,Spring
The Hurricane,1999,,146 min,7.6,,142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Newman and Campos",Winter
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",157 min,7.9,A group of men set out in search of a dead body in the Anatolian steppes.,77000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gibbs, Robinson and Hawkins",Spring
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",170000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gonzales Group,Summer
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",93 min,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",27000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Watts, Boyd and Kelly",Summer
Dark Waters,2019,"Biography, Drama, History",126 min,7.6,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,35000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Harris, Rogers and Moore",Winter
Gran Torino,2008,Drama,116 min,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Salazar and Flynn",Fall
La vita è bella,1997,"Comedy, Drama, Romance",116 min,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",30000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Trujillo-Hunt,Spring
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",28000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins-Hall,
Anatomy of a Murder,1959,"Crime, Drama, Mystery",,8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",191000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pena-Khan,Spring
Minority Report,2002,"Action, Crime, Mystery",,7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",142000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Wiley, Patterson and Gamble",Fall
Sin City,2005,"Crime, Thriller",124 min,8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",40000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wilson, Fields and Herrera",Spring
Mary and Max,2009,"Animation, Comedy, Drama",92 min,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Rhodes and Smith",Winter
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,73000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cook PLC,Fall
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,155000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gross Ltd,Fall
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",186 min,8.0,,54000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Paul-Brown,Winter
Isle of Dogs,2018,"Animation, Adventure, Comedy",101 min,7.9,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",184000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miles LLC,Fall
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",88000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mason-Oneal,Spring
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,53000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Frank-Allen,Summer
Mary Poppins,1964,,139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",176000000.0,<function <lambda> at 0x00000168A434E0C0>,,Wilson-Thompson,Winter
Ordinary People,1980,Drama,124 min,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",163000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Taylor PLC,Spring
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Austin Ltd,Fall
Where Eagles Dare,1968,"Action, Adventure, War",158 min,,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones PLC,Summer
Peeping Tom,1960,,101 min,7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",126000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bass Group,Spring
Shaun of the Dead,2004,,99 min,,A man's uneventful life is disrupted by the zombie apocalypse.,65000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simmons-Burns,Winter
Dazed and Confused,1993,Comedy,,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,14000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Guzman, Morrison and Cooper",Fall
Withnail & I,1987,"Comedy, Drama",107 min,7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chapman, Kramer and Martinez",Winter
M.S. Dhoni: The Untold Story,2016,,184 min,7.8,,163000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Guzman and Berg",Spring
Falling Down,1993,"Action, Crime, Drama",113 min,7.6,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,109000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Khan-Wilson,Summer
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",71000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ramirez-Mueller,
Kick-Ass,2010,"Action, Comedy, Crime",117 min,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",12000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Green-Knight,Spring
V for Vendetta,2005,"Action, Drama, Sci-Fi",132 min,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",1000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Delgado-Lamb,Fall
Happiness,1998,"Comedy, Drama",134 min,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hicks, Salazar and Wells",Winter
Blowup,1966,"Drama, Mystery, Thriller",111 min,7.6,A fashion photographer unknowingly captures a death on film after following two lovers in a park.,198000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Aguirre, Hunt and Green",Spring
Harry Potter and the Deathly Hallows: Part 1,2010,,146 min,7.7,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",34000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ortiz-Ayala,Spring
Taxi Driver,1976,,114 min,,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",164000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Glenn PLC,Summer
Harry Potter and the Deathly Hallows: Part 2,2011,,,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wang-Bell,Summer
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",115 min,7.8,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,42000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcintyre-Martin,Winter
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",190000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Clark Ltd,Winter
The Last Picture Show,1971,"Drama, Romance",118 min,8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",114000000.0,<function <lambda> at 0x00000168A434E0C0>,,Krueger Inc,Fall
The Exorcist,1973,Horror,122 min,8.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Herman, Pittman and Mathis",Winter
The Hangover,2009,Comedy,100 min,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",181000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Howard, Smith and Moss",Summer
Loving Vincent,2017,"Animation, Biography, Crime",94 min,7.8,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",110000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez-Davis,Winter
Lost in Translation,2003,,102 min,7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,144000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cooke Group,Spring
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,,3000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Johnson and Davis",Winter
Vertigo,1958,"Mystery, Romance, Thriller",128 min,8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,29000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Saunders Inc,Winter
Capharnaüm,2018,Drama,126 min,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",20000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Galvan Group,Fall
Toy Story 3,2010,"Animation, Adventure, Comedy",103 min,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",177000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gates PLC,Spring
Do the Right Thing,1989,"Comedy, Drama",120 min,8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",39000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rodriguez-Wright,Fall
The Royal Tenenbaums,2001,"Comedy, Drama",110 min,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,140000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Berry-Robinson,
PK,2014,"Comedy, Drama, Musical",153 min,8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,10000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Higgins and Conner",Winter
What's Eating Gilbert Grape,1993,Drama,118 min,7.8,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hurst Group,Winter
Rupan sansei: Kariosutoro no shiro,1979,"Animation, Adventure, Family",100 min,7.7,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",150000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hamilton-Yang,Summer
Death Note: Desu nôto,2006,"Crime, Drama, Fantasy",126 min,7.7,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Banks PLC,Fall
Inception,2010,,148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,38000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cook-Moreno,Spring
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,7.7,,,,<function <lambda> at 0x00000168A43CA0C0>,Juarez-Ross,Fall
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",33000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oconnor-Smith,Fall
Brief Encounter,1945,"Drama, Romance",86 min,8.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",11000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Trujillo, Gutierrez and Miller",Spring
Shrek,2001,"Animation, Adventure, Comedy",90 min,7.8,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",79000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Benson Group,Winter
Fa yeung nin wah,2000,"Drama, Romance",98 min,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",94000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Phillips-Barber,Fall
Kumonosu-jô,1957,"Drama, History",110 min,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",11000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Barnett, Myers and Cochran",Summer
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",132 min,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",92000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Branch, Ball and Kelly",Spring
Sound of Metal,2019,"Drama, Music",120 min,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,54000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Graham PLC,Winter
Avatar,2009,"Action, Adventure, Fantasy",162 min,7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,175000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rose, Williams and Carroll",Spring
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,7.7,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",64000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Payne, Wood and Christensen",Summer
Incredibles 2,2018,,118 min,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,171000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Solis-Phillips,Spring
Jurassic Park,1993,"Action, Adventure, Sci-Fi",127 min,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,27000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",144 min,7.8,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",91000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Schmidt-Jefferson,Fall
Jungfrukällan,1960,,,,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",200000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Decker, Medina and Gates",Summer
