Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
The Fall,2006,"Adventure, Drama, Fantasy",117 min,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Robert Tapia,Female,Puerto Rico,1975.0,2.0
The Invisible Man,1933,"Horror, Sci-Fi",71 min,,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",Natalie Palmer,Non-binary,,1973.0,3.0
La migliore offerta,2013,,131 min,7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Jason Ross,,Lebanon,1948.0,0.0
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",101 min,7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Xavier Martinez,Non-binary,Honduras,1964.0,6.0
Bacheha-Ye aseman,1997,"Drama, Family, Sport",,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",John Myers,Male,Slovenia,1955.0,15.0
Planet of the Apes,1968,"Adventure, Sci-Fi",,8.0,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Holly Thompson,Non-binary,South Georgia and the South Sandwich Islands,1956.0,
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Richard Solomon,Female,,1953.0,4.0
Les diaboliques,1955,"Crime, Drama, Horror",117 min,,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Mrs. Alicia Nelson,Female,Philippines,1961.0,18.0
Dog Day Afternoon,1975,"Biography, Crime, Drama",125 min,8.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Shirley Garrett MD,,Aruba,1981.0,7.0
Sabrina,1954,,113 min,7.7,,Luis Hutchinson,Female,,1945.0,16.0
Just Mercy,2019,"Biography, Crime, Drama",137 min,,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Angela Jones,Male,Saint Lucia,1968.0,14.0
Down by Law,1986,"Comedy, Crime, Drama",107 min,,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jose Ballard,Non-binary,China,,0.0
Sholay,1975,"Action, Adventure, Comedy",204 min,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Joseph Lawson,,Israel,1945.0,0.0
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",76 min,8.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Ashlee Wilkinson,Non-binary,Hungary,,10.0
La piel que habito,2011,"Drama, Horror, Thriller",120 min,7.6,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Johnny Woods,Female,Guernsey,1986.0,3.0
Billy Elliot,2000,"Drama, Music",110 min,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Hannah Scott,Female,Netherlands Antilles,1952.0,13.0
Sleepers,1996,"Crime, Drama, Thriller",,7.6,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Curtis Richards,Female,Taiwan,1943.0,4.0
The Killing Fields,1984,"Biography, Drama, History",141 min,,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",,Non-binary,,1957.0,15.0
Magnolia,1999,Drama,188 min,8.0,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Jeremy Edwards,,Cameroon,,2.0
Mulan,1998,"Animation, Adventure, Family",,,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Kelly Fischer,Male,Albania,1983.0,7.0
Skyfall,2012,"Action, Adventure, Thriller",143 min,7.7,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Jacob Petty,,Myanmar,1978.0,12.0
La haine,1995,,98 min,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Robert Green,Male,Kenya,1978.0,2.0
Amarcord,1973,"Comedy, Drama, Family",123 min,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Derek Flowers,,Montserrat,,3.0
Special Chabbis,2013,,144 min,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Robin Weaver,Male,Switzerland,1944.0,3.0
Goodfellas,1990,"Biography, Crime, Drama",146 min,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Tracy Waters,Female,Jersey,1952.0,10.0
Airlift,2016,"Drama, History",130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",,Non-binary,Isle of Man,1988.0,11.0
Papurika,2006,"Animation, Drama, Fantasy",90 min,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",Colleen Murray,Female,,1977.0,
Prisoners,2013,"Crime, Drama, Mystery",153 min,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Michael Weber,Non-binary,San Marino,1986.0,4.0
The Great Escape,1963,,172 min,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Christopher Stokes,Male,Norfolk Island,1982.0,12.0
The Warriors,1979,"Action, Crime, Thriller",92 min,,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",Mary Johnson,Female,Lebanon,1975.0,4.0
Cidade de Deus,2002,"Crime, Drama",130 min,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Sydney Harmon,Female,Peru,,20.0
Tropa de Elite,2007,"Action, Crime, Drama",,8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",,Non-binary,Cuba,1970.0,4.0
Lat sau san taam,1992,"Action, Crime, Thriller",128 min,7.8,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,Brandon Daniel,Female,Vietnam,1953.0,2.0
Goldfinger,1964,"Action, Adventure, Thriller",110 min,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Kara Johnson,Male,Saint Kitts and Nevis,1961.0,16.0
Blade Runner 2049,2017,"Action, Drama, Mystery",164 min,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Gail Saunders,Non-binary,Maldives,1959.0,18.0
Per un pugno di dollari,1964,"Action, Drama, Western",99 min,8.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Catherine Garcia,Female,Honduras,1940.0,
Hiroshima mon amour,1959,"Drama, Romance",90 min,7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,,Non-binary,Algeria,1953.0,19.0
Der Name der Rose,1986,"Crime, Drama, Mystery",,7.7,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Richard Craig,Female,Mali,1952.0,20.0
Room,2015,,118 min,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",,Male,Mauritius,,5.0
Adams æbler,2005,,94 min,,,,Male,Western Sahara,1947.0,14.0
Inglourious Basterds,2009,"Adventure, Drama, War",153 min,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Mrs. Nicole Hansen,Male,Saint Helena,1987.0,11.0
Miracle on 34th Street,1947,,96 min,7.9,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",Tina Nelson,Male,,1988.0,6.0
Oldeuboi,2003,"Action, Drama, Mystery",101 min,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Tammy Larson,Female,Saint Barthelemy,1970.0,20.0
American Gangster,2007,"Biography, Crime, Drama",157 min,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Matthew Reese,Male,Ethiopia,1955.0,4.0
Paper Moon,1973,"Comedy, Crime, Drama",102 min,8.1,,David Armstrong,,Serbia,1984.0,13.0
Halloween,1978,"Horror, Thriller",,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Madeline Cook,,,,19.0
The Hustler,1961,"Drama, Sport",134 min,8.0,,,Male,Canada,1985.0,14.0
Rang De Basanti,2006,"Comedy, Crime, Drama",167 min,8.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",George Smith,,,1953.0,6.0
Alien,1979,"Horror, Sci-Fi",117 min,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",David Nelson MD,,Kyrgyz Republic,1965.0,2.0
Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",,7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Charles Kelly,Non-binary,,1955.0,
Roman Holiday,1953,"Comedy, Romance",118 min,8.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,,Female,Equatorial Guinea,1975.0,4.0
Tôkyô monogatari,1953,Drama,,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.",,Non-binary,Ukraine,1960.0,3.0
The Thing,1982,"Horror, Mystery, Sci-Fi",109 min,8.1,,Rebecca Burke,Male,Bolivia,1989.0,18.0
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",140 min,8.1,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Matthew Rose,Non-binary,,1958.0,12.0
Låt den rätte komma in,2008,"Crime, Drama, Fantasy",114 min,7.9,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Kathy Hopkins,,,,11.0
The Apartment,1960,"Comedy, Drama, Romance",125 min,8.3,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",David Tate,Female,Vanuatu,1969.0,
28 Days Later...,2002,"Drama, Horror, Sci-Fi",113 min,7.6,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",,Female,Bhutan,1974.0,10.0
Nueve reinas,2000,"Crime, Drama, Thriller",114 min,,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Bianca Pacheco,Male,Zimbabwe,1981.0,4.0
Fried Green Tomatoes,1991,Drama,130 min,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Daniel Fields,Non-binary,,1962.0,7.0
Vicky Donor,2012,"Comedy, Romance",126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Ryan Smith,Non-binary,Brunei Darussalam,1959.0,8.0
Metropolis,1927,"Drama, Sci-Fi",153 min,8.3,,Andrew Diaz,Non-binary,Iceland,1956.0,20.0
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228 min,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Tanya Benjamin,Non-binary,Benin,1963.0,2.0
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130 min,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Eric Taylor,Male,Malaysia,1972.0,7.0
The Conversation,1974,,,7.8,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Heather Mccarthy,Female,United Kingdom,1971.0,
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nathan Estes,Non-binary,Pakistan,1969.0,19.0
Cape Fear,1962,"Drama, Thriller",106 min,7.7,A lawyer's family is stalked by a man he once helped put in jail.,Casey Jones,Male,Slovenia,1946.0,19.0
Zombieland,2009,"Adventure, Comedy, Fantasy",88 min,7.6,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Jason Lawson,,French Guiana,1986.0,19.0
Kill Bill: Vol. 2,2004,,137 min,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",,Male,Sudan,1970.0,9.0
Platoon,1986,,120 min,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Donald Sellers,Male,Costa Rica,1988.0,0.0
Hotaru no haka,1988,"Animation, Drama, War",89 min,8.5,,,Male,Libyan Arab Jamahiriya,1960.0,9.0
Darbareye Elly,2009,"Drama, Mystery",119 min,8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Jim Martin,Female,Wallis and Futuna,1953.0,6.0
Portrait de la jeune fille en feu,2019,"Drama, Romance",,8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Benjamin Byrd,Male,Central African Republic,1963.0,16.0
The 39 Steps,1935,"Crime, Mystery, Thriller",86 min,7.6,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",,Female,Cyprus,1960.0,19.0
Blue Velvet,1986,"Drama, Mystery, Thriller",120 min,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",Angela Grant,Non-binary,Israel,1966.0,16.0
The Broken Circle Breakdown,2012,"Drama, Music, Romance",,7.7,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",Patrick Garcia,Non-binary,,1942.0,6.0
In the Name of the Father,1993,"Biography, Crime, Drama",133 min,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Tonya Tate,Female,Andorra,,12.0
La Strada,1954,Drama,108 min,8.0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Edward Fowler,Female,Uruguay,1954.0,9.0
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108 min,7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Kimberly Allen,,Rwanda,1987.0,20.0
The Bridge on the River Kwai,1957,"Adventure, Drama, War",161 min,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",Marc Roberson,Male,Cuba,1949.0,1.0
Her,2013,"Drama, Romance, Sci-Fi",126 min,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",William Cook,Non-binary,France,,7.0
Apollo 13,PG,"Adventure, Drama, History",140 min,7.6,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Christopher Rojas,Male,Haiti,1956.0,15.0
There Will Be Blood,2007,Drama,158 min,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Karen Taylor,Male,United States Minor Outlying Islands,1975.0,12.0
Citizen Kane,1941,"Drama, Mystery",119 min,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Ryan Short,Female,Nauru,1977.0,
Good Bye Lenin!,2003,"Comedy, Drama, Romance",121 min,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Jessica Carroll,Female,Cocos (Keeling) Islands,1977.0,
Casablanca,1942,"Drama, Romance, War",102 min,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Beverly White,Non-binary,Zambia,1986.0,15.0
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",128 min,8.0,Story of 40-man Turkish task force who must defend a relay station.,Sherri Rivas,Non-binary,Greece,1966.0,20.0
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",,,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Brenda Castillo,Female,Serbia,1958.0,19.0
Paan Singh Tomar,2012,"Action, Biography, Crime",135 min,8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Christopher Morris,Non-binary,Jersey,1949.0,2.0
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",101 min,7.9,,William Alvarez,Female,Greece,1952.0,16.0
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Erin Shepherd,Female,Saint Helena,1961.0,
Apocalypto,2006,"Action, Adventure, Drama",139 min,,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Jacqueline Fernandez,Non-binary,Spain,1954.0,
The General,1926,"Action, Adventure, Comedy",67 min,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",James Morales,Male,Kazakhstan,,10.0
Gisaengchung,2019,"Comedy, Drama, Thriller",132 min,,,David Roberts,,Benin,1976.0,4.0
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mary Miller,Female,Kyrgyz Republic,1955.0,12.0
Black Hawk Down,2001,"Drama, History, War",144 min,7.7,,Richard Barnes,Non-binary,Philippines,1971.0,18.0
Le dîner de cons,1998,Comedy,80 min,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Joshua Adams,Male,Cook Islands,1975.0,13.0
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",128 min,8.0,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Lee Chavez,Female,Zimbabwe,1981.0,11.0
La montaña sagrada,1973,"Adventure, Drama, Fantasy",,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",John Mckee,Female,,1983.0,17.0
Atonement,2007,"Drama, Mystery, Romance",123 min,7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Richard Norton,,,,5.0
The Pianist,2002,,150 min,,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Brittany Johnson,Non-binary,Ethiopia,1956.0,15.0
Höstsonaten,1978,,99 min,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",,,,1988.0,2.0
"Monsters, Inc.",2001,,92 min,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Kristen Lyons,,,1971.0,0.0
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Diane Mendoza,Non-binary,,1986.0,
Night on Earth,1991,"Comedy, Drama",129 min,7.8,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,,Non-binary,Mayotte,1981.0,2.0
(500) Days of Summer,2009,,95 min,7.7,,,Non-binary,Botswana,1987.0,0.0
A Man for All Seasons,1966,"Biography, Drama, History",120 min,7.7,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",,Male,Turks and Caicos Islands,1971.0,
Black,2005,Drama,122 min,,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",James Santana,Male,Azerbaijan,1969.0,6.0
Le samouraï,1967,"Crime, Drama, Mystery",105 min,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Maria Jones,Female,,1950.0,
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Mitchell Francis,Non-binary,San Marino,1986.0,1.0
The Gentlemen,2019,"Action, Comedy, Crime",113 min,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Mary Nelson,Male,Poland,1990.0,12.0
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",Kevin Smith,Male,,,16.0
One Flew Over the Cuckoo's Nest,1975,Drama,,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",,,Saint Pierre and Miquelon,1950.0,
The Kid,1921,"Comedy, Drama, Family",68 min,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Keith Delacruz,,Mexico,1948.0,20.0
Badhaai ho,2018,"Comedy, Drama",124 min,8.0,,Jack Morris,Female,Guernsey,1986.0,16.0
Fargo,1996,"Crime, Drama, Thriller",98 min,8.1,,David Fuller,Male,Swaziland,1974.0,13.0
Ed Wood,1994,"Biography, Comedy, Drama",127 min,7.8,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Victoria Crawford,Male,United States of America,1971.0,13.0
Dead Man,1995,"Adventure, Drama, Fantasy",,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",Kimberly Rojas,Female,San Marino,1951.0,12.0
All About Eve,1950,Drama,138 min,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Mary Fletcher,Non-binary,Comoros,1974.0,2.0
Per qualche dollaro in più,1965,Western,,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Lisa Fletcher,Male,San Marino,1981.0,
The Boy in the Striped Pyjamas,2008,"Drama, History, War",,7.8,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Dominique Odonnell,Female,Trinidad and Tobago,1943.0,17.0
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Joshua Evans,Non-binary,Ukraine,1973.0,17.0
To Kill a Mockingbird,1962,,129 min,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Zachary Erickson,Female,Hungary,1942.0,19.0
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Lori Moss,,French Southern Territories,1944.0,4.0
Changeling,2008,"Biography, Crime, Drama",141 min,,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,Holly Reid,,Faroe Islands,1982.0,8.0
Shadow of a Doubt,1943,"Film-Noir, Thriller",108 min,7.8,,,Male,Oman,1943.0,2.0
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Sharon Carlson,Non-binary,Mayotte,1988.0,9.0
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,,Three former parapsychology professors set up shop as a unique ghost removal service.,Justin Jones,Non-binary,Ghana,1940.0,
Lethal Weapon,1987,"Action, Crime, Thriller",,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Peter Dunn,Female,,1966.0,16.0
Boogie Nights,1997,Drama,155 min,7.9,,,Male,Lithuania,,6.0
The Muppet Movie,1979,"Adventure, Comedy, Family",,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Bruce Bowman,,Comoros,1980.0,
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Stephanie Mcconnell,Female,Cameroon,1954.0,
Celda 211,2009,"Action, Adventure, Crime",,7.6,,Julia Washington,Non-binary,Indonesia,1944.0,10.0
Der Untergang,2004,"Biography, Drama, History",156 min,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Kimberly Frazier,Non-binary,Marshall Islands,,12.0
Deliverance,1972,"Adventure, Drama, Thriller",109 min,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",Ann Pope,Male,,,18.0
Die Hard,1988,"Action, Thriller",132 min,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Anthony Harvey MD,Non-binary,,1940.0,20.0
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Jennifer Hayden,Non-binary,Argentina,1953.0,20.0
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Susan Burgess,,Netherlands Antilles,,20.0
Once Upon a Time in the West,1968,Western,165 min,,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Heather Haynes,,Honduras,1969.0,2.0
Omohide poro poro,1991,,,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,April Miller,,,1963.0,
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,,John Mcneil,Male,,1943.0,13.0
