Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
"4 luni, 3 saptamâni si 2 zile",2007,Drama,113 min,7.9,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,British Indian Ocean Territory (Chagos Archipelago),2007-07-04,,NC-17
Road to Perdition,2002,"Crime, Drama, Thriller",117 min,7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Bahrain,2007-11-08,,PG
City Lights,1931,"Comedy, Drama, Romance",87 min,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",United Arab Emirates,2007-02-28,,PG-13
Frankenstein,1931,"Drama, Horror, Sci-Fi",70 min,7.8,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,Zambia,2014-05-28,,NC-17
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108 min,7.8,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Spain,2017-06-30,,G
All Quiet on the Western Front,1930,"Drama, War",152 min,8.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Bouvet Island (Bouvetoya),1997-11-15,,NC-17
Giant,1956,"Drama, Western",201 min,7.6,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,Estonia,2021-01-14,,PG-13
The Theory of Everything,2014,"Biography, Drama, Romance",123 min,7.7,A look at the relationship between the famous physicist Stephen Hawking and his wife.,Faroe Islands,2011-12-14,,PG
Tangled,2010,"Animation, Adventure, Comedy",100 min,7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Sao Tome and Principe,1998-09-28,,PG-13
The Station Agent,2003,"Comedy, Drama",89 min,7.6,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Bhutan,2016-05-08,,NC-17
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",127 min,8.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Mexico,2010-08-26,,G
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",121 min,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Kyrgyz Republic,2009-01-11,,NC-17
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Chile,2005-05-09,,PG-13
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",India,2021-03-07,,G
Festen,1998,Drama,105 min,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Germany,2017-04-29,Horizontal analyzing contingency,R
Festen,1998,Drama,105 min,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Central African Republic,2001-11-04,,PG
The Jungle Book,1967,"Animation, Adventure, Family",78 min,7.6,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Palau,1996-04-14,,R
Todo sobre mi madre,1999,Drama,101 min,7.8,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Hungary,2023-09-29,Organic client-server capability,NC-17
Catch Me If You Can,2002,"Biography, Crime, Drama",141 min,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Lebanon,1996-08-10,,PG
The Philadelphia Story,1940,"Comedy, Romance",112 min,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",British Indian Ocean Territory (Chagos Archipelago),1996-03-03,,PG-13
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Syrian Arab Republic,1997-06-03,,R
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Montserrat,2011-03-20,,PG
Jojo Rabbit,2019,"Comedy, Drama, War",108 min,7.9,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Panama,2024-10-24,,G
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",115 min,7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",Tanzania,2004-12-15,Operative value-added ability,NC-17
The Big Lebowski,1998,"Comedy, Crime, Sport",117 min,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Armenia,2013-08-13,Cross-group transitional definition,NC-17
Being John Malkovich,1999,"Comedy, Drama, Fantasy",113 min,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Bouvet Island (Bouvetoya),2001-12-01,,PG
Joyeux Noël,2005,"Drama, History, Music",116 min,7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Malaysia,2010-12-05,,R
K.G.F: Chapter 1,2018,"Action, Drama",156 min,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Jamaica,2014-09-17,Fully-configurable cohesive customer loyalty,PG
K.G.F: Chapter 1,2018,"Action, Drama",156 min,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Pitcairn Islands,1995-07-18,Object-based uniform open system,R
The Fugitive,1993,"Action, Crime, Drama",130 min,7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Venezuela,1995-11-17,,PG-13
The Fighter,2010,"Biography, Drama, Sport",116 min,7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",Denmark,2015-06-08,Front-line eco-centric strategy,Unrated
Once Upon a Time in America,1984,"Crime, Drama",229 min,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Philippines,2016-03-18,Synergized directional moderator,Unrated
La dolce vita,1960,"Comedy, Drama",174 min,8.0,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,South Africa,2018-07-06,,PG
