Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Apollo 13,PG,"Adventure, Drama, History",140 min,7.6,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,153000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,George-Martinez,,Christopher Rojas,Male,Haiti,1956.0,15.0
There Will Be Blood,2007,Drama,158 min,8.2,,18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wagner, Morrison and Butler",Winter,Karen Taylor,,United States Minor Outlying Islands,1975.0,12.0
Citizen Kane,1941,"Drama, Mystery",119 min,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",173000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Stephenson, Richardson and Smith",Fall,Ryan Short,Female,Nauru,1977.0,3.0
Good Bye Lenin!,2003,,121 min,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",61000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Winter,Jessica Carroll,Female,Cocos (Keeling) Islands,1977.0,
Casablanca,1942,"Drama, Romance, War",102 min,8.5,,104000000.0,<function <lambda> at 0x00000168A434E0C0>,,Dodson Ltd,Fall,Beverly White,,Zambia,1986.0,15.0
Nefes: Vatan Sagolsun,2009,,128 min,,Story of 40-man Turkish task force who must defend a relay station.,31000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Spring,Sherri Rivas,Non-binary,,1966.0,
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",153 min,7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",146000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Robinson, Hughes and Mann",Winter,Brenda Castillo,,Serbia,1958.0,19.0
Paan Singh Tomar,2012,,135 min,,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",64000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Torres Inc,Fall,Christopher Morris,Non-binary,Jersey,1949.0,
Hunt for the Wilderpeople,2016,,101 min,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Herrera, Thomas and Mason",,William Alvarez,Female,Greece,1952.0,16.0
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,153000000.0,,<function <lambda> at 0x00000168A43CA0C0>,,Spring,Erin Shepherd,Female,Saint Helena,1961.0,
Apocalypto,2006,,,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",11000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Baldwin-Martin,Winter,,Non-binary,Spain,1954.0,11.0
The General,1926,"Action, Adventure, Comedy",67 min,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",159000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Durham Group,Fall,James Morales,,,1964.0,10.0
Gisaengchung,2019,"Comedy, Drama, Thriller",132 min,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,21000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Phillips, Harris and Taylor",Fall,David Roberts,Male,Benin,1976.0,4.0
Donnie Brasco,1997,,127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",108000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"David, Reeves and Williams",Winter,,,Kyrgyz Republic,1955.0,12.0
Black Hawk Down,2001,"Drama, History, War",144 min,7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,169000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Norman Ltd,Fall,Richard Barnes,Non-binary,Philippines,1971.0,18.0
Le dîner de cons,1998,,80 min,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",150000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mitchell and Sons,Winter,Joshua Adams,Male,Cook Islands,,13.0
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",128 min,8.0,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,145000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Wood, Arias and Thompson",Fall,Lee Chavez,Female,Zimbabwe,1981.0,11.0
La montaña sagrada,1973,"Adventure, Drama, Fantasy",,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",134000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Summer,,Female,,1983.0,
Atonement,2007,,123 min,7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,81000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Brown Inc,Winter,Richard Norton,Non-binary,Chile,1961.0,5.0
The Pianist,2002,,150 min,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,67000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Parrish, Nguyen and Price",Winter,Brittany Johnson,Non-binary,Ethiopia,1956.0,15.0
Höstsonaten,1978,"Drama, Music",99 min,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Spring,Mr. Kenneth Martin,Female,Qatar,1988.0,2.0
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",92 min,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bean Group,Summer,Kristen Lyons,Male,Croatia,1971.0,0.0
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,,184000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Mack-Ryan,Winter,Diane Mendoza,Non-binary,Guinea-Bissau,1986.0,18.0
Night on Earth,1991,"Comedy, Drama",129 min,7.8,,81000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lopez-Hammond,Fall,Sandra Burgess,Non-binary,Mayotte,1981.0,2.0
(500) Days of Summer,2009,"Comedy, Drama, Romance",95 min,7.7,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",62000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Morse, Briggs and Nolan",,Nancy Carter,,Botswana,1987.0,0.0
A Man for All Seasons,1966,"Biography, Drama, History",120 min,7.7,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Donovan, Reid and Barnes",Fall,David Whitehead,Male,Turks and Caicos Islands,1971.0,8.0
Black,2005,Drama,122 min,,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",102000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kelly PLC,Spring,James Santana,Male,Azerbaijan,,6.0
Le samouraï,1967,"Crime, Drama, Mystery",105 min,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,34000000.0,<function <lambda> at 0x00000168A434E0C0>,,Potts PLC,Winter,Maria Jones,,Greenland,1950.0,1.0
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",144 min,7.8,,172000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Mitchell Francis,Non-binary,San Marino,1986.0,1.0
The Gentlemen,2019,"Action, Comedy, Crime",,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",166000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cameron-Walton,Spring,Mary Nelson,Male,Poland,1990.0,
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",77000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Lara,Spring,Kevin Smith,,China,,16.0
One Flew Over the Cuckoo's Nest,1975,Drama,,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",118000000.0,,<function <lambda> at 0x00000168A43CA0C0>,,Winter,Emily Downs,Non-binary,Saint Pierre and Miquelon,,9.0
The Kid,1921,"Comedy, Drama, Family",68 min,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Orozco-Morales,Fall,,,Mexico,1948.0,20.0
Badhaai ho,2018,"Comedy, Drama",124 min,8.0,A man is embarrassed when he finds out his mother is pregnant.,193000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ware, White and Jackson",Summer,Jack Morris,,,1986.0,16.0
Fargo,1996,"Crime, Drama, Thriller",,8.1,,,,<function <lambda> at 0x00000168A43CA0C0>,"Lloyd, Robertson and Huang",,David Fuller,Male,Swaziland,1974.0,13.0
Ed Wood,1994,"Biography, Comedy, Drama",127 min,,,3000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Patel PLC,Summer,,,,1971.0,13.0
Dead Man,1995,"Adventure, Drama, Fantasy",121 min,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",118000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Klein, White and Anderson",Summer,Kimberly Rojas,Female,,1951.0,12.0
All About Eve,1950,,138 min,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,160000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Mack and Richardson",Fall,Mary Fletcher,Non-binary,Comoros,1974.0,2.0
Per qualche dollaro in più,1965,Western,132 min,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,145000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,King-Shah,,Lisa Fletcher,Male,San Marino,1981.0,20.0
The Boy in the Striped Pyjamas,2008,"Drama, History, War",94 min,,,26000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hawkins, Lang and Williams",Spring,Dominique Odonnell,Female,,1943.0,
Straight Outta Compton,2015,"Biography, Drama, History",147 min,,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",19000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,,,Non-binary,Ukraine,1973.0,17.0
To Kill a Mockingbird,1962,"Crime, Drama",,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",138000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,,Zachary Erickson,Female,Hungary,1942.0,19.0
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",55000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lucas, Moore and Fuller",Winter,Lori Moss,Male,French Southern Territories,1944.0,4.0
Changeling,2008,"Biography, Crime, Drama",141 min,7.7,,130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garrett Ltd,Spring,Holly Reid,Female,Faroe Islands,1982.0,8.0
Shadow of a Doubt,1943,"Film-Noir, Thriller",108 min,7.8,,68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Young Group,,Kelly Clay,Male,,1943.0,2.0
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Meyer PLC,Summer,Sharon Carlson,Non-binary,Mayotte,1988.0,9.0
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,7.8,,90000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Rodriguez and Cantu",Spring,Justin Jones,,Ghana,,
Lethal Weapon,1987,"Action, Crime, Thriller",109 min,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Peter Dunn,Female,Bahamas,1966.0,16.0
Boogie Nights,1997,Drama,,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",63000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Palmer and Sons,,Dakota Horton,Male,Lithuania,,6.0
The Muppet Movie,1979,"Adventure, Comedy, Family",95 min,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",95000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,White Ltd,,,Non-binary,,1980.0,4.0
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,73000000.0,<function <lambda> at 0x00000168A434E0C0>,,,,Stephanie Mcconnell,Female,Cameroon,1954.0,17.0
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",41000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hernandez, Chavez and Carter",Summer,Julia Washington,Non-binary,Indonesia,1944.0,10.0
Der Untergang,2004,"Biography, Drama, History",156 min,,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",113000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson-Smith,Summer,Kimberly Frazier,,Marshall Islands,1985.0,12.0
Deliverance,1972,"Adventure, Drama, Thriller",109 min,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",140000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Poole and Payne",Fall,Ann Pope,Male,Switzerland,1949.0,18.0
Die Hard,1988,"Action, Thriller",132 min,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,181000000.0,,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Anthony Harvey MD,,Saudi Arabia,1940.0,20.0
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",78000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rivera, Rodriguez and Carter",Summer,Jennifer Hayden,,,1953.0,20.0
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",157000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Parks-Deleon,Fall,Susan Burgess,Male,Netherlands Antilles,1972.0,20.0
Once Upon a Time in the West,1968,Western,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,168000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Flores-Tanner,,Heather Haynes,Non-binary,Honduras,,2.0
Omohide poro poro,1991,,118 min,,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,136000000.0,<function <lambda> at 0x00000168A434E0C0>,,,,,Non-binary,Papua New Guinea,1963.0,9.0
Finding Neverland,2004,"Biography, Drama, Family",106 min,,,3000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wheeler LLC,Fall,John Mcneil,Male,Dominican Republic,,13.0
Mulholland Dr.,2001,,147 min,7.9,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",171000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Leblanc Group,Spring,Cody Bennett,Male,Guyana,1979.0,7.0
The Hurricane,1999,"Biography, Drama, Sport",,7.6,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Newman and Campos",Winter,Douglas Wagner,Non-binary,Seychelles,,1.0
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",,7.9,A group of men set out in search of a dead body in the Anatolian steppes.,77000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Spring,,Non-binary,Guinea-Bissau,1982.0,7.0
Chinatown,1974,"Drama, Mystery, Thriller",,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",170000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Gonzales Group,Summer,Kelly Owens,,,1979.0,2.0
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",93 min,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",27000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Watts, Boyd and Kelly",Summer,Craig Davis,Non-binary,Saint Pierre and Miquelon,1970.0,13.0
Dark Waters,2019,"Biography, Drama, History",126 min,7.6,,,,<function <lambda> at 0x00000168A43CA0C0>,"Harris, Rogers and Moore",Winter,Christopher Hancock,,,,3.0
Gran Torino,2008,Drama,116 min,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Salazar and Flynn",Fall,Adam Fletcher,,,1971.0,14.0
La vita è bella,1997,,116 min,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",30000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Trujillo-Hunt,Spring,Susan Burns,Male,Rwanda,,
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",28000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins-Hall,Winter,,Male,Greenland,1940.0,19.0
Anatomy of a Murder,1959,"Crime, Drama, Mystery",161 min,8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pena-Khan,Spring,William Davis PhD,Male,Benin,1974.0,1.0
Minority Report,2002,"Action, Crime, Mystery",145 min,7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wiley, Patterson and Gamble",,Samantha Spence,Male,Netherlands Antilles,1975.0,
Sin City,2005,"Crime, Thriller",124 min,8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",40000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wilson, Fields and Herrera",Spring,,Non-binary,Niger,1966.0,5.0
Mary and Max,2009,"Animation, Comedy, Drama",92 min,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",70000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Rhodes and Smith",Winter,,,,1940.0,3.0
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,73000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cook PLC,Fall,Jacqueline Mooney,Female,Dominican Republic,1941.0,0.0
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,155000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Gross Ltd,Fall,,Non-binary,United Arab Emirates,,4.0
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",,8.0,,54000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Paul-Brown,Winter,Jeffrey Booth,Male,French Polynesia,1986.0,0.0
Isle of Dogs,2018,"Animation, Adventure, Comedy",101 min,7.9,,184000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Miles LLC,Fall,Jennifer Mcgee,Non-binary,Saint Barthelemy,,5.0
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,,"After his wife divorces him, a Polish immigrant plots to get even with her.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mason-Oneal,Spring,Tyler Baker,Female,,1974.0,15.0
Enter the Dragon,1973,"Action, Crime, Drama",102 min,,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,53000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Frank-Allen,Summer,Lisa Martin,Non-binary,Bhutan,1958.0,11.0
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",176000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson-Thompson,Winter,Timothy Taylor,Non-binary,Turkmenistan,1941.0,16.0
Ordinary People,1980,Drama,124 min,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",163000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Taylor PLC,Spring,,Male,Svalbard & Jan Mayen Islands,1972.0,16.0
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",68000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Austin Ltd,Fall,,Female,Grenada,1984.0,8.0
Where Eagles Dare,1968,"Action, Adventure, War",158 min,7.7,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones PLC,Summer,,Non-binary,Bahrain,1983.0,5.0
Peeping Tom,1960,"Drama, Horror, Thriller",101 min,7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",126000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bass Group,Spring,Renee Kelly,Non-binary,Sudan,1967.0,
Shaun of the Dead,2004,,99 min,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,65000000.0,<function <lambda> at 0x00000168A434E0C0>,,Simmons-Burns,Winter,,,Slovenia,1951.0,4.0
Dazed and Confused,1993,Comedy,102 min,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Guzman, Morrison and Cooper",Fall,James Stewart,Non-binary,,1946.0,8.0
Withnail & I,1987,"Comedy, Drama",107 min,7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chapman, Kramer and Martinez",Winter,Pamela Cisneros,Female,Cuba,1946.0,3.0
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,163000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Guzman and Berg",Spring,,Female,Holy See (Vatican City State),1973.0,0.0
Falling Down,1993,"Action, Crime, Drama",113 min,7.6,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,109000000.0,,<function <lambda> at 0x00000168A43CA0C0>,,Summer,Michelle Perez,,Sweden,1949.0,
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",71000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ramirez-Mueller,Spring,Haley Berger,Non-binary,Svalbard & Jan Mayen Islands,1955.0,13.0
Kick-Ass,2010,"Action, Comedy, Crime",117 min,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",12000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Spring,Amber Moody,Female,,,8.0
