Series_Title,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Le dîner de cons,150000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mitchell and Sons,Winter
Der Himmel über Berlin,145000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wood, Arias and Thompson",Fall
La montaña sagrada,134000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hall, Powers and Castillo",Summer
Atonement,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brown Inc,Winter
The Pianist,67000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Parrish, Nguyen and Price",Winter
Höstsonaten,53000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vaughn-Simon,Spring
"Monsters, Inc.",172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bean Group,Summer
Who Framed Roger Rabbit,184000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mack-Ryan,Winter
Night on Earth,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lopez-Hammond,Fall
(500) Days of Summer,62000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Morse, Briggs and Nolan",Fall
A Man for All Seasons,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Donovan, Reid and Barnes",Fall
Black,102000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kelly PLC,Spring
Le samouraï,34000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Potts PLC,Winter
Ang-ma-reul bo-at-da,172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Byrd, Murphy and Kelly",Fall
The Gentlemen,166000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cameron-Walton,Spring
Midnight in Paris,77000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Lara,Spring
One Flew Over the Cuckoo's Nest,118000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Weaver and Brown",Winter
The Kid,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Orozco-Morales,Fall
Badhaai ho,193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ware, White and Jackson",Summer
Fargo,19000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lloyd, Robertson and Huang",Fall
Ed Wood,3000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Patel PLC,Summer
Dead Man,118000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Klein, White and Anderson",Summer
All About Eve,160000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Mack and Richardson",Fall
Per qualche dollaro in più,145000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,King-Shah,Summer
The Boy in the Striped Pyjamas,26000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hawkins, Lang and Williams",Spring
Straight Outta Compton,19000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ibarra-Ray,Spring
To Kill a Mockingbird,138000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,Fall
Kakushi-toride no san-akunin,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lucas, Moore and Fuller",Winter
Changeling,130000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garrett Ltd,Spring
Shadow of a Doubt,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Young Group,Fall
Wind River,34000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Meyer PLC,Summer
Ghostbusters,90000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Rodriguez and Cantu",Spring
Lethal Weapon,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gutierrez-Underwood,Fall
Boogie Nights,63000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Palmer and Sons,Fall
The Muppet Movie,95000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,White Ltd,Winter
Nuovo Cinema Paradiso,73000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harris-Matthews,Summer
Celda 211,41000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hernandez, Chavez and Carter",Summer
Der Untergang,113000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson-Smith,Summer
Deliverance,140000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Poole and Payne",Fall
Die Hard,181000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Diaz-Harrington,Fall
Star Wars: Episode V - The Empire Strikes Back,78000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rivera, Rodriguez and Carter",Summer
The Bourne Identity,157000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Parks-Deleon,Fall
Once Upon a Time in the West,168000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Flores-Tanner,Winter
Omohide poro poro,136000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Glover-Hodge,Fall
Finding Neverland,3000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wheeler LLC,Fall
Mulholland Dr.,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Leblanc Group,Spring
The Hurricane,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Newman and Campos",Winter
Bir Zamanlar Anadolu'da,77000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gibbs, Robinson and Hawkins",Spring
Chinatown,170000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gonzales Group,Summer
Scarface: The Shame of the Nation,27000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Watts, Boyd and Kelly",Summer
Dark Waters,35000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Harris, Rogers and Moore",Winter
Gran Torino,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Salazar and Flynn",Fall
La vita è bella,30000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Trujillo-Hunt,Spring
Lola rennt,28000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins-Hall,Winter
Anatomy of a Murder,191000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pena-Khan,Spring
Minority Report,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wiley, Patterson and Gamble",Fall
Sin City,40000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wilson, Fields and Herrera",Spring
Mary and Max,70000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Rhodes and Smith",Winter
The Departed,73000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cook PLC,Fall
The Bridges of Madison County,155000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gross Ltd,Fall
Kal Ho Naa Ho,54000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Paul-Brown,Winter
Isle of Dogs,184000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miles LLC,Fall
Trois couleurs: Blanc,88000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mason-Oneal,Spring
Enter the Dragon,53000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Frank-Allen,Summer
Mary Poppins,176000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson-Thompson,Winter
Ordinary People,163000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Taylor PLC,Spring
Sherlock Jr.,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Austin Ltd,Fall
Where Eagles Dare,130000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones PLC,Summer
Peeping Tom,126000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bass Group,Spring
Shaun of the Dead,65000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simmons-Burns,Winter
Dazed and Confused,14000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Guzman, Morrison and Cooper",Fall
Withnail & I,24000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chapman, Kramer and Martinez",Winter
M.S. Dhoni: The Untold Story,163000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Guzman and Berg",Spring
Falling Down,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Khan-Wilson,Summer
L.A. Confidential,71000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ramirez-Mueller,Spring
Kick-Ass,12000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Green-Knight,Spring
V for Vendetta,1000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Delgado-Lamb,Fall
Happiness,86000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hicks, Salazar and Wells",Winter
Blowup,198000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Aguirre, Hunt and Green",Spring
Harry Potter and the Deathly Hallows: Part 1,34000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ortiz-Ayala,Spring
Taxi Driver,164000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Glenn PLC,Summer
Harry Potter and the Deathly Hallows: Part 2,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wang-Bell,Summer
E.T. the Extra-Terrestrial,42000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcintyre-Martin,Winter
Reservoir Dogs,190000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Clark Ltd,Winter
The Last Picture Show,114000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Krueger Inc,Fall
The Exorcist,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Herman, Pittman and Mathis",Winter
The Hangover,181000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Howard, Smith and Moss",Summer
Loving Vincent,110000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez-Davis,Winter
Lost in Translation,144000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cooke Group,Spring
Majo no takkyûbin,3000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Johnson and Davis",Winter
Vertigo,29000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Saunders Inc,Winter
Capharnaüm,20000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Galvan Group,Fall
Toy Story 3,177000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gates PLC,Spring
Do the Right Thing,39000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rodriguez-Wright,Fall
The Royal Tenenbaums,140000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Berry-Robinson,Summer
PK,10000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Higgins and Conner",Winter
What's Eating Gilbert Grape,95000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hurst Group,Winter
Rupan sansei: Kariosutoro no shiro,150000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hamilton-Yang,Summer
Death Note: Desu nôto,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Banks PLC,Fall
Inception,38000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cook-Moreno,Spring
The Fifth Element,111000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Juarez-Ross,Fall
The Prestige,33000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oconnor-Smith,Fall
Brief Encounter,11000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Trujillo, Gutierrez and Miller",Spring
Shrek,79000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Benson Group,Winter
Fa yeung nin wah,94000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Phillips-Barber,Fall
Kumonosu-jô,11000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Barnett, Myers and Cochran",Summer
Star Trek Into Darkness,92000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Branch, Ball and Kelly",Spring
Sound of Metal,54000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Graham PLC,Winter
Avatar,175000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rose, Williams and Carroll",Spring
Me and Earl and the Dying Girl,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Payne, Wood and Christensen",Summer
Incredibles 2,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Solis-Phillips,Spring
Jurassic Park,27000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Parker, Foley and Schultz",Spring
Das weiße Band - Eine deutsche Kindergeschichte,91000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Schmidt-Jefferson,Fall
Jungfrukällan,200000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Decker, Medina and Gates",Summer
Annie Hall,144000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ramirez PLC,Summer
Pan's Labyrinth,105000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Walker LLC,Summer
I Am Sam,159000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sanchez-Hudson,Spring
Les triplettes de Belleville,192000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jackson-Taylor,Summer
Only the Brave,40000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hill, Davis and Wilson",Summer
L'avventura,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Robinson and Sons,Summer
Mustang,42000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stevens Group,Fall
District 9,46000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Franklin, Chen and Black",Summer
The Wolf of Wall Street,106000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Flores, Lee and Jones",Spring
Up,7000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Murphy, Martinez and Hendricks",Fall
Roma,46000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcdaniel-Murray,Summer
Lord of War,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hicks LLC,Summer
Nebraska,86000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Soto-Garcia,Fall
Tombstone,106000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boyle PLC,Summer
Deadpool,172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cruz-Hampton,Spring
Knives Out,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Rodriguez,Spring
Bajrangi Bhaijaan,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Washington Group,Summer
Du rififi chez les hommes,69000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gould-Evans,Spring
Double Indemnity,41000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kelly-Williamson,Fall
Dirty Harry,180000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Forbes, Smith and Martin",Summer
Chugyeokja,28000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez-Jacobson,Fall
El secreto de sus ojos,98000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Matthews, Ruiz and Lowery",Spring
Funny Games,10000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sanders LLC,Summer
Koe no katachi,121000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ellis-Lopez,Fall
The Hobbit: The Desolation of Smaug,57000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Cole, Ramos and Lopez",Spring
Rocky,52000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Solomon, Martin and Moore",Summer
What Ever Happened to Baby Jane?,118000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rogers and Sons,Winter
JFK,90000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Sparks, Knight and Miller",Spring
Ladri di biciclette,79000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"King, Ellis and Smith",Spring
Some Like It Hot,59000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morris Inc,Winter
Logan,58000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones-Frye,Winter
Touch of Evil,7000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,White-Thomas,Fall
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",169000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ramirez Group,Spring
Jaws,50000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Clark PLC,Winter
Saw,103000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Scott Ltd,Summer
Efter brylluppet,85000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Barrera-Jacobs,Spring
Despicable Me,72000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gomez LLC,Fall
The Purple Rose of Cairo,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lucas Ltd,Winter
Guardians of the Galaxy Vol. 2,198000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simon Inc,Spring
Uri: The Surgical Strike,72000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Barnett PLC,Spring
The Notebook,90000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Collier Inc,Winter
Dances with Wolves,165000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hall, Velasquez and Owen",Winter
The Last Samurai,131000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Macdonald, Martin and Wells",Winter
Control,103000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Nelson-Mcclure,Spring
Kai po che!,174000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wolfe, Flowers and Martinez",Winter
Die Welle,138000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnston-Winters,Winter
Song of the Sea,85000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Riley-Bell,Spring
Gongdong gyeongbi guyeok JSA,8000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Anderson and Garrett",Spring
The Blind Side,30000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cooper-Stevenson,Fall
Silver Linings Playbook,67000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Carlson Inc,Summer
As Good as It Gets,46000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hayes PLC,Spring
Stardust,149000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Christensen, Dennis and Kennedy",Summer
Mr. Nobody,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Briggs, Hopkins and Savage",Fall
Gilda,10000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Harris and Martin",Fall
Flipped,28000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sandoval PLC,Winter
Pâfekuto burû,153000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Castro-Benjamin,Fall
Delicatessen,112000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kramer Inc,Winter
No Man's Land,89000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harrington and Sons,Winter
Stand by Me,187000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones-Richards,Spring
The Muppet Christmas Carol,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brady and Sons,Spring
The Killing,112000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Anderson PLC,Summer
Letters from Iwo Jima,156000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Herrera, Bridges and Thomas",Winter
The Sting,131000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Johnson, Blanchard and Harvey",Winter
The Outlaw Josey Wales,30000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Howard, Oconnell and Martinez",Summer
No Country for Old Men,99000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bates-Mckenzie,Winter
The Ladykillers,148000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chambers, Lambert and Black",Fall
Madeo,49000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thompson-Cardenas,Winter
Awakenings,66000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Klein PLC,Winter
Cinderella Man,12000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reese-Bradley,Winter
On Golden Pond,182000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lewis, Burke and Adams",Spring
Airplane!,112000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood Inc,Fall
Lage Raho Munna Bhai,1000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Webb and Sons,Winter
The Magdalene Sisters,134000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Clark Ltd,Fall
Mississippi Burning,138000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Watkins Inc,Fall
La passion de Jeanne d'Arc,176000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Swanson-Banks,Fall
The Boondock Saints,185000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson Group,Summer
The Terminator,190000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Johnson, Tucker and Forbes",Winter
